Test,CyclesAligned,CyclesMisaligned
add x5,7,8
add x9,16,16
slt x5,8,8
slt x9,16,16
sltu x5,8,8
sltu x9,16,16
and x5,8,8
and x9,16,16
or x5,8,8
or x9,16,16
xor x5,8,8
xor x9,16,16
sll x5,8,8
sll x9,16,16
srl x5,8,8
srl x9,16,16
sra x5,8,8
sra x9,16,16
c.mv x5,5,5
c.mv x9,9,9
c.add x5,5,5
c.add x9,9,9
c.and x5,5,5
c.and x9,9,9
c.or x5,5,5
c.or x9,9,9
c.xor x5,5,5
c.xor x9,9,9
c.sub x5,5,5
c.sub x9,9,9
slti x5,8,8
slti x9,16,16
sltiu x5,8,8
sltiu x9,16,16
addi x5,8,8
addi x9,16,16
andi x5,8,8
andi x9,16,16
ori x5,8,8
ori x9,16,16
xori x5,8,8
xori x9,16,16
slli x5,8,8
slli x9,16,16
srli x5,8,8
srli x9,16,16
srai x5,8,8
srai x9,16,16
lui x5,8,8
lui x9,16,16
auipc x5,8,8
auipc x9,16,16
c.li x5,5,5
c.li x9,9,9
c.lui x5,5,5
c.lui x9,9,9
c.addi x5,5,5
c.addi x9,9,9
c.addi16sp x5,5,5
c.addi16sp x9,9,9
c.addi4spn x5,5,5
c.addi4spn x9,9,9
c.andi x5,5,5
c.andi x9,9,9
c.slli x5,5,5
c.slli x9,9,9
c.srli x5,5,5
c.srli x9,9,9
c.srai x5,5,5
c.srai x9,9,9
c.nop x5,5,5
c.nop x9,9,9
